guid,sector
758fb736-1705-43db-93e6-8e95c2f92e64,HS2I
2a3ce38e-125e-4306-b7a2-e457f1753569,HS3I
fccaa25a-1bc3-4c1f-9613-5a1a85d33801,HS2I
dda1c923-eac0-4d6e-9cc7-a746e6cfd501,HS3I
4148760a-ba1c-48b0-b40c-12479e111b28,HS2I
c0539d0f-d84f-4537-88df-0c650cf98a43,HS3I
3db8b3ab-53be-4b5d-997d-d5f23401ce0f,HS2I
6bf155d6-e6f8-4633-bc18-f17cb7dead5f,HS3I
b7cd11fb-0360-4c58-a5fe-af788545e087,HS2I
28bc701b-5c97-432a-9a97-dc9b0c79a7f0,HS2I
79afa01d-4a89-44fe-9d2e-6254bf120ae3,HS3I
68fff71d-04fe-4bb6-8488-616529951683,HS3I
50f96675-ca6e-40aa-96af-65fca9c1f737,HS2I
b0b0fe4f-f5bb-4c98-b954-1688b635747c,HS2I
402bd7bf-d5ac-4ba9-a6c6-07e55e013b8e,HS2I
b33f6572-abf9-4c11-9a26-8bcb649dc135,HS3I
f5f914c8-0378-4ca6-aa24-94d1b85771ff,HS3I
5bd26d39-243c-4b4e-af81-512c8ca4a2ba,HS2I
0d05cb65-60bb-4207-812e-44a7365a25d8,HS2I
212abfa4-6437-4434-9267-d64f4b08bc86,HS2I
bfd5159a-2d61-4932-96a7-1aa0f1bb310d,HS2I
60d9e4c7-71e3-435c-ad18-0647c71054b0,HS3I
ac360706-96eb-4094-b2fb-9875853a1104,HS3I
75f1a189-b29b-463a-94a9-fe5b9e7bcdcd,HS2I
71469a25-2efc-4b0f-a14d-7ae61676b66a,HS2I
960584cd-0531-4116-9d56-372419d9cee4,HS3I
bb8ead00-56b7-44f5-9d08-cd7068600582,HS3I
7109b17d-52fb-44f7-99af-5504c8682b13,HS2I
3e431849-d7a4-4ac6-a369-aa774c032207,HS3I
de67dd97-ecc1-4ae5-b49e-6ca9d4faa3a9,HS2I
85963ae2-dd5c-4eb4-a403-5cef7fbccd05,HS2I
23834b78-73cd-4ca7-8e38-f8bd6cc63c99,HS2I
31aebac6-4475-4222-9fd7-8f8a24474e80,HS2I
eaeb6e87-84ec-4bf8-8ecd-ae146746b6eb,HS2I
1e596f66-f579-465b-8c77-6a6efe0cd9d6,HS2I
9591029b-a0f8-4720-9123-0706ce7d8a9f,HS3I
85e48623-4fd9-4d77-b16d-af17945f7377,HS2I
6cf08305-c11b-48c9-be0c-0b9e36e2b6a4,HS3I
85869ae1-1f48-4082-9306-877c297870b2,HS2I
95481495-d19d-44bf-8b00-70f1f0ca72a0,HS3I
196a5fdf-429b-48fc-bd96-e7d5e64bca37,HS2I
bded3983-6968-401b-9cab-78f997dffc4f,HS2I
9e0c3b98-61b2-42f2-95b6-93161fa13bab,HS2I
1a55c92e-47fc-4633-a770-171c6505d3ab,HS3I
a1c406c1-9d2e-4a98-8cf2-539ee79ef62f,HS2I
de19af9e-b38d-4923-b783-01d17c98a2e1,HS2I
bd8b9c8b-4d19-4b7b-a8ed-a417c39aa6ec,HS2I
1ad2a7a9-bad0-46e7-911d-dc4cca54c690,HS2I
e36acee2-b7a3-4717-91b4-28432d65b75e,HS2I
5d4a9c7a-a381-4f23-9202-f80dd7e67ab1,HS2I
370d5706-7eeb-4f36-9018-34010daaa6d4,HS2I
9dd08c49-163b-4fbe-ae95-86eb3999cc5c,HS2I
e20a72cf-9465-4585-8797-acc95b5e62bc,HS2I
3483961b-2085-44db-bd73-f082f6911962,HS2I
50e0acf7-5791-44ed-b8e7-a46ebba36bb8,HS2I
d8b253ba-e0db-44f6-b6dc-9785fb7f523c,HS2I
8dd724cb-9919-4822-88e2-a6ae4ca69889,HS2I
8b1dd8d8-268a-4695-82da-484f555a8a0c,HS2I
cf772f61-7751-4512-bfb3-61286151216f,HS3I
3cca761e-3c47-403b-b55c-131420155f3b,HS2I
