,L1A,L2A,L3A,L1B,L2B,L3B,L1C,L2C,L3C,L1D,L2D,L3D,L1E,L2E,L3E,L1F,L2F,L3F,L1G,L2G,L3G,L1H,L2H,L3H
HH1E,0.11109689541720900,0.00000000000000000,0.00000000000000000,0.14660825278028600,0.00000000000000000,0.00000000000000000,0.10450972938813200,0.00000000000000000,0.00000000000000000,0.13258848497805600,0.00000000000000000,0.00000000000000000,0.14974125364224700,0.00000000000000000,0.00000000000000000,0.14795161143720500,0.00000000000000000,0.00000000000000000,0.1260621019956690,0.0000000000000000,0.0000000000000000,0.1444927590000150,0.0000000000000000,0.0000000000000000
HH2E,0.06093755887787030,0.16140076747746900,0.00000000000000000,0.05655122484856910,0.07290844801602590,0.00000000000000000,0.04379687374476760,0.06033353189840640,0.00000000000000000,0.04159955124497090,0.05788978479609610,0.00000000000000000,0.06879217722583320,0.08756173518978330,0.00000000000000000,0.04765466571707420,0.06946822367964060,0.00000000000000000,0.0518804482744922,0.1048631286407280,0.0000000000000000,0.0428979301516629,0.0754716617309811,0.0000000000000000
HH3E,0.04003389746226990,0.13997868376300300,0.17536482635769200,0.03882537934232150,0.06617903773958340,0.04097569809175630,0.02610034495436020,0.05633321833259630,0.02799631603781770,0.03087603626665440,0.05680133474855310,0.02598889631435990,0.04415157907102910,0.08012134805103150,0.04502681756410460,0.03669773595844290,0.06518588373240450,0.04337877007979860,0.0373333210940009,0.0928035896827958,0.0765357822220380,0.0289274422733221,0.0817127629799236,0.0760465244396353
HH4E,0.02795795831333250,0.07738835061831230,0.32842525447793400,0.02270641827607630,0.03903715343640160,0.07632069019372750,0.01444393999388200,0.03545153171006450,0.05391720028729550,0.01629790185967280,0.03821261102079420,0.06200934385705340,0.02761741743826530,0.04836128224848110,0.08668576494185390,0.02050960322120710,0.04035326177793220,0.07914895103838110,0.0236068099166490,0.0527668020401968,0.1540012585437230,0.0128465986690409,0.0615113516081158,0.1491057623641700
HH5E,0.00476942070207667,0.06750473641388300,0.39766257589701200,0.00626771661877188,0.03213590219639500,0.10251630803793900,0.00409823241373240,0.02751219113347220,0.08221391753161670,0.00579859896797654,0.02794818706844380,0.08996705778190770,0.00622645401491032,0.03898101465638100,0.12643606997841400,0.00663229294040091,0.03181594032745430,0.11500544136552200,0.0056032617718347,0.0448900190588031,0.1995536307241070,0.0059770742466476,0.0407552441396872,0.2730469051458240
HH1F,0.01935716993939070,0.00000000000000000,0.00000000000000000,0.06453642891150960,0.00000000000000000,0.00000000000000000,0.02580955864148890,0.00000000000000000,0.00000000000000000,0.06295152032490330,0.00000000000000000,0.00000000000000000,0.02790815193936760,0.00000000000000000,0.00000000000000000,0.14511298520005400,0.00000000000000000,0.00000000000000000,0.0511732093774237,0.0000000000000000,0.0000000000000000,0.1176204252089720,0.0000000000000000,0.0000000000000000
HH2F,0.01237324115348460,0.16087828219191100,0.00000000000000000,0.01010658056169670,0.08059801451196980,0.00000000000000000,0.00505204832552886,0.03795682123111770,0.00000000000000000,0.00750713806790043,0.03222143442157330,0.00000000000000000,0.00714759755723198,0.05405627044401770,0.00000000000000000,0.02488142988226550,0.15574747642252900,0.00000000000000000,0.0133480764949924,0.1260460200193990,0.0000000000000000,0.0193214204670798,0.1538276671947730,0.0000000000000000
HH3F,0.03987137765969190,0.09610811085440220,0.16783058696648000,0.02874862536874770,0.04703687093051740,0.04151648787096660,0.01058996833020980,0.02160989046879360,0.01673977245412420,0.01426591769328800,0.01796592721528070,0.01292993343929560,0.01825230336049180,0.03139124898094310,0.02679531256313410,0.06478200332817940,0.08932457991508450,0.09884583226059520,0.0391405165511588,0.0737124557441066,0.1092798999927550,0.0320614326571714,0.0841653927000001,0.1099848098116930
HH4F,0.06682338900705830,0.10215913844344600,0.22696541076981000,0.05909689394522610,0.04934807613774620,0.06727430558802920,0.02188025340082700,0.02284049459480480,0.03456425542857950,0.03554657404356850,0.01860245949890730,0.03102611978769500,0.03443484894521300,0.03293026111041690,0.05350637487570650,0.13255907382813400,0.09381257099819400,0.17511864872266100,0.0724261249639986,0.0779960730963142,0.1891513224523210,0.0739682516599890,0.0867134558475318,0.3156674894097800
HH5F,0.03225212280918950,0.04334735117765380,0.33146771321627500,0.02620353436975880,0.01904307408740280,0.08588014840396420,0.00914365261146722,0.00792276294538223,0.03764565210740360,0.01394042895963270,0.00573055173916209,0.03379299413065470,0.01536686252090850,0.01244402146511220,0.05982118509956580,0.05799309468458500,0.03371532940432460,0.21353029334119500,0.0333170755359273,0.0304441799788819,0.2554898663104750,0.0284656638795957,0.0237847844801561,0.2810130210299010
