dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
IHH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.748750448,6.865380368,67.08172612,195.8292913,0.469722665,1.166175517,10.96911239,34.68998085,132.4837124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509959378,8.734831901,0,0,0.087839088,1.479960131,0,0,0,0,0,0,0,0,0,0,0,3.508921911,8.760360552,76.71102394,247.2087273,685.4041875
MHH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.369598385,0,0,0,6.674656682,0,0,0,5.441033153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189264789,0,0,0,3.345384398,0,0,0,0,0,0,0,0,0,0,0,0,17.9484666,0,0,0,433.9973736
MHH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.923264011,16.39960309,0,0,8.208284633,46.0750593,0,0,31.96325188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028901532,0.589217668,0,0,2.890716897,1.653982874,0,0,0,0,0,0,0,0,0,0,0,22.40413537,125.2577868,0,0,743.28361
MHH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.436061738,27.64628595,47.69467763,0,9.669623392,77.65077549,133.8087808,0,131.4192436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.134581623,5.235176562,0,0,5.993762308,14.70646503,0,0,0,0,0,0,0,0,0,0,0,26.23746704,210.3511136,346.2766736,0,1579.391892
MHH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.842664914,20.55761703,136.5682472,76.33796611,10.77735079,57.71798221,368.5071677,245.0168907,383.9122706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06245909,8.124710747,0,0,5.783447013,22.81343936,0,0,0,0,0,0,0,0,0,0,0,29.20349915,158.6342482,945.723661,688.7715364,1675.098974
MHH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625256122,6.532015096,64.10526866,187.0056331,7.373475306,18.34493518,172.2775143,540.7742912,413.7571251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48745687,8.318350131,0,0,1.374744687,23.3732578,0,0,0,0,0,0,0,0,0,0,0,20.02071671,50.10311473,438.2461305,1413.031192,3792.256206
IUSSOC1,0.006171595,0.00196669,0.048698757,0.006078096,0.015376881,0.365566479,0.066045947,0.375265017,0.015480924,0.732474703,0.165999596,0.352819472,1.478571605,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056318776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203345,0.00203345,0,0,0,0,0,0
IUSSOC2,0.013659335,0.103295666,0.417458472,0.112138822,0.114574553,1.491418532,1.14886091,1.660706244,0.213007582,4.71716772,1.160432356,0.510407259,3.06586309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.626122593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146174528,0.134916655,0.011257873,0,0,0,0,0
IUSSOC3,0.211255646,0.297173642,1.46342948,0.707455833,0.46652905,0.767642323,3.758440205,5.619230734,1.304145964,28.35311994,4.852077472,0.885598382,1.63209565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61023497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93409157,0.871666619,0.069518971,0,0,0,0,0
IUSSOC4,0.627316237,0.262302316,1.710167839,1.777720288,0.728617544,1.81126771,2.25323404,9.073011147,0.786906948,15.17772163,4.281088665,0,0.077719205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.63688879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909014912,0.831212497,0.070265736,0,0,0,0,0
